"district","date","cases","deaths"
"Jacobabad","2021-08-27","9","0"
"Jamshoro","2021-08-27","19","0"
"Shahdadkot","2021-08-27","0","0"
"Korangi","2021-08-27","60","7"
"Kashmore","2021-08-27","15","0"
"Khairpur","2021-08-27","5","0"
"Larkana","2021-08-27","2","0"
"Karachi Malir","2021-08-27","55","1"
"Matiari","2021-08-27","27","0"
"Mirpurkhas","2021-08-27","34","1"
"Nowshero Feroze","2021-08-27","14","0"
"Sanghar","2021-08-27","34","0"
"Shaheed Banazir Abad","2021-08-27","30","0"
"Shikarpur","2021-08-27","14","0"
"Karachi South","2021-08-27","206","5"
"Sujawal","2021-08-27","18","0"
"Sukkur","2021-08-27","22","0"
"Tando Allahyar","2021-08-27","22","0"
"Tando Muhammad Khan","2021-08-27","15","0"
"Tharparkar","2021-08-27","34","0"
"Thatta","2021-08-27","24","1"
"Umerkot","2021-08-27","33","0"
"Karachi West","2021-08-27","44","6"
"Badin","2021-08-28","50","0"
"Karachi Central","2021-08-28","121","2"
"Dadu","2021-08-28","10","0"
"Karachi East","2021-08-28","198","1"
"Ghotki","2021-08-28","12","0"
"Hyderabad","2021-08-28","151","0"
"Jacobabad","2021-08-28","8","0"
"Jamshoro","2021-08-28","32","0"
"Shahdadkot","2021-08-28","33","0"
"Korangi","2021-08-28","26","2"
"Kashmore","2021-08-28","17","0"
"Khairpur","2021-08-28","27","0"
"Larkana","2021-08-28","4","0"
"Karachi Malir","2021-08-28","51","0"
"Matiari","2021-08-28","32","0"
"Mirpurkhas","2021-08-28","15","0"
"Nowshero Feroze","2021-08-28","30","0"
"Sanghar","2021-08-28","46","0"
"Shaheed Banazir Abad","2021-08-28","34","0"
"Shikarpur","2021-08-28","15","0"
"Karachi South","2021-08-28","65","3"
"Sujawal","2021-08-28","17","0"
"Sukkur","2021-08-28","18","0"
"Tando Allahyar","2021-08-28","13","0"
"Tando Muhammad Khan","2021-08-28","1","0"
"Tharparkar","2021-08-28","41","0"
"Thatta","2021-08-28","3","0"
"Umerkot","2021-08-28","11","0"
"Karachi West","2021-08-28","36","1"
"Badin","2021-08-29","50","1"
"Karachi Central","2021-08-29","64","8"
"Dadu","2021-08-29","9","0"
"Karachi East","2021-08-29","220","4"
"Ghotki","2021-08-29","9","0"
"Hyderabad","2021-08-29","177","0"
"Jacobabad","2021-08-29","1","0"
"Jamshoro","2021-08-29","15","0"
"Shahdadkot","2021-08-29","0","0"
"Korangi","2021-08-29","70","1"
"Kashmore","2021-08-29","18","0"
"Khairpur","2021-08-29","2","2"
"Larkana","2021-08-29","6","0"
"Karachi Malir","2021-08-29","57","1"
"Matiari","2021-08-29","25","0"
"Mirpurkhas","2021-08-29","27","0"
"Nowshero Feroze","2021-08-29","0","0"
"Sanghar","2021-08-29","23","1"
"Shaheed Banazir Abad","2021-08-29","24","0"
"Shikarpur","2021-08-29","1","0"
"Karachi South","2021-08-29","180","0"
"Sujawal","2021-08-29","14","0"
"Sukkur","2021-08-29","8","0"
"Tando Allahyar","2021-08-29","24","0"
"Tando Muhammad Khan","2021-08-29","16","0"
"Tharparkar","2021-08-29","29","0"
"Thatta","2021-08-29","36","0"
"Umerkot","2021-08-29","12","0"
"Karachi West","2021-08-29","25","3"
"Badin","2021-08-30","32","1"
"Karachi Central","2021-08-30","48","12"
"Dadu","2021-08-30","18","0"
"Karachi East","2021-08-30","154","5"
"Ghotki","2021-08-30","14","0"
"Hyderabad","2021-08-30","133","5"
"Jacobabad","2021-08-30","10","0"
"Jamshoro","2021-08-30","37","0"
"Shahdadkot","2021-08-30","36","0"
"Korangi","2021-08-30","5","2"
"Kashmore","2021-08-30","0","0"
"Khairpur","2021-08-30","0","0"
"Larkana","2021-08-30","6","0"
"Karachi Malir","2021-08-30","34","1"
"Matiari","2021-08-30","19","1"
"Mirpurkhas","2021-08-30","18","0"
"Nowshero Feroze","2021-08-30","52","0"
"Sanghar","2021-08-30","42","1"
"Shaheed Banazir Abad","2021-08-30","16","0"
"Shikarpur","2021-08-30","19","0"
"Karachi South","2021-08-30","103","5"
"Sujawal","2021-08-30","2","0"
"Sukkur","2021-08-30","22","0"
"Tando Allahyar","2021-08-30","14","1"
"Tando Muhammad Khan","2021-08-30","15","1"
"Tharparkar","2021-08-30","32","0"
"Thatta","2021-08-30","30","0"
"Umerkot","2021-08-30","17","1"
"Karachi West","2021-08-30","24","3"
"Badin","2021-08-31","45","0"
"Karachi Central","2021-08-31","149","18"
"Dadu","2021-08-31","5","0"
"Karachi East","2021-08-31","140","7"
"Ghotki","2021-08-31","0","0"
"Hyderabad","2021-08-31","120","0"
"Jacobabad","2021-08-31","1","0"
"Jamshoro","2021-08-31","13","0"
"Shahdadkot","2021-08-31","1","0"
"Korangi","2021-08-31","36","1"
"Kashmore","2021-08-31","2","0"
"Khairpur","2021-08-31","28","0"
"Larkana","2021-08-31","1","0"
"Karachi Malir","2021-08-31","44","0"
